sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
4024_0,160.0,502.0,84.0,74,22,19,2,66,1
4029_0,158.0,441.0,88.0,3,34,32,2,74,1
4031_0,87.0,1162.0,71.0,1275,32,22,8,60,1
4040_0,167.0,570.0,79.0,56,34,31,4,71,1
4043_0,161.0,517.0,83.0,68,22,20,2,65,1
4047_0,156.0,785.0,83.0,250,31,21,4,70,1
4055_0,144.0,995.0,80.0,665,31,14,4,62,1
4064_0,158.0,582.0,90.0,155,22,26,2,73,1
4077_0,157.0,435.0,82.0,24,24,16,2,76,1
4097_0,155.0,964.0,78.0,430,41,21,4,67,1
4098_0,165.0,483.0,84.0,11,24,42,20,76,1
4100_0,134.0,1444.0,82.0,776,32,23,7,57,1
4115_0,147.0,616.0,90.0,3,34,23,4,69,1
4122_0,163.0,496.0,87.0,16,41,21,2,67,1
4129_0,69.0,1176.0,68.0,1657,22,11,10,57,1
4156_0,112.0,1533.0,83.0,993,33,20,9,54,1
4184_0,118.0,1569.0,81.0,877,33,21,8,57,1
4191_0,163.0,465.0,85.0,13,24,29,2,75,1
4193_0,63.0,813.0,64.0,1770,31,11,12,56,1
4194_0,150.0,788.0,92.0,52,31,26,3,70,1
4209_0,34.0,1151.0,62.0,2332,21,9,13,54,1
4219_0,160.0,796.0,75.0,342,32,23,4,70,1
4220_0,160.0,467.0,85.0,28,24,36,5,79,1
4226_0,161.0,481.0,83.0,22,34,29,3,74,1
4233_0,94.0,1495.0,78.0,1461,23,15,11,66,1
4253_0,147.0,880.0,92.0,86,31,22,4,67,1
4335_0,163.0,635.0,81.0,54,34,24,4,71,1
4367_0,134.0,1305.0,78.0,959,42,21,7,60,1
4395_0,93.0,1437.0,79.0,1548,21,17,7,60,1
4398_0,91.0,920.0,75.0,1316,41,13,9,57,1
4410_0,147.0,629.0,91.0,3,34,21,4,74,1
4411_0,57.0,860.0,66.0,1973,32,9,12,58,1
4412_0,117.0,1087.0,69.0,853,31,22,8,58,1
4418_0,164.0,656.0,80.0,73,34,25,3,72,1
4420_0,164.0,740.0,85.0,79,31,22,2,73,1
4442_0,163.0,603.0,83.0,112,34,16,2,66,1
4447_0,123.0,996.0,72.0,893,42,22,8,60,1
4454_0,63.0,850.0,67.0,1909,22,7,18,60,1
4463_0,160.0,638.0,79.0,247,32,28,2,71,1
4504_0,162.0,785.0,78.0,245,32,24,3,72,1
4536_0,68.0,1122.0,69.0,1700,32,9,15,55,1
4601_0,160.0,482.0,83.0,25,24,35,4,75,1
4610_0,154.0,483.0,86.0,266,21,27,3,71,1
4614_0,163.0,546.0,83.0,18,24,39,5,74,1
4649_0,73.0,976.0,69.0,1527,41,9,12,61,1
4672_0,165.0,536.0,80.0,82,31,17,2,73,1
4680_0,164.0,614.0,85.0,46,34,21,2,73,1
4688_0,148.0,1071.0,84.0,414,32,14,3,60,1
4691_0,154.0,880.0,74.0,525,12,22,4,70,1
4693_0,165.0,592.0,83.0,31,24,29,2,74,1
4707_0,158.0,474.0,89.0,11,34,28,2,72,1
4722_0,60.0,911.0,66.0,2000,22,13,14,58,1
4782_0,167.0,560.0,79.0,69,31,20,2,73,1
4785_0,164.0,530.0,85.0,36,34,21,2,74,1
4807_0,160.0,431.0,85.0,16,24,26,2,75,1
4808_0,158.0,898.0,78.0,357,32,23,3,71,1
4838_0,161.0,523.0,83.0,67,34,18,3,68,1
4847_0,154.0,511.0,93.0,17,34,28,2,71,1
4860_0,164.0,470.0,84.0,4,34,44,4,75,1
4862_0,150.0,1313.0,82.0,637,22,27,7,59,1
4880_0,146.0,636.0,89.0,98,21,18,3,69,1
4889_0,162.0,513.0,83.0,65,24,20,2,76,1
4974_0,86.0,1402.0,77.0,1597,22,13,14,54,1
4983_0,156.0,504.0,82.0,195,31,30,2,71,1
4993_0,156.0,476.0,85.0,148,31,39,2,70,1
4999_0,169.0,560.0,78.0,114,34,18,2,72,1
5006_0,165.0,505.0,83.0,13,24,24,2,73,1
5019_0,154.0,432.0,83.0,8,24,18,2,78,1
5020_0,74.0,1261.0,70.0,1479,32,15,11,57,1
5024_0,162.0,682.0,85.0,108,41,25,3,71,1
5034_0,161.0,625.0,82.0,147,21,14,5,64,1
5035_0,164.0,703.0,78.0,172,31,23,2,71,1
5046_0,164.0,607.0,85.0,55,24,21,2,72,1
5058_0,165.0,636.0,83.0,32,34,23,3,67,1
5070_0,159.0,440.0,87.0,7,34,31,2,74,1
5199_0,162.0,689.0,80.0,63,34,30,2,72,1
5210_0,162.0,487.0,88.0,35,34,26,2,76,1
5224_0,135.0,1295.0,84.0,593,32,20,7,53,1
5227_0,167.0,588.0,76.0,161,22,23,2,71,1
5234_0,164.0,707.0,84.0,58,22,22,2,69,1
5253_0,62.0,848.0,63.0,1813,21,11,11,59,1
5261_0,162.0,524.0,91.0,32,34,28,2,74,1
5262_0,164.0,591.0,83.0,27,34,36,4,69,1
5265_0,165.0,575.0,86.0,28,34,21,3,71,1
5272_0,158.0,473.0,84.0,87,41,24,3,70,1
5277_0,159.0,478.0,88.0,79,34,26,3,73,1
5281_0,165.0,611.0,80.0,56,34,24,2,72,1
5328_0,161.0,535.0,81.0,181,41,23,2,73,1
5333_0,163.0,559.0,83.0,23,34,35,8,71,1
5335_0,158.0,540.0,80.0,189,41,31,2,74,1
5344_0,154.0,609.0,81.0,338,34,25,3,69,1
5364_0,159.0,496.0,91.0,21,34,30,2,75,1
5377_0,163.0,471.0,86.0,10,34,26,2,74,1
5382_0,154.0,509.0,88.0,130,32,31,3,74,1
5391_0,59.0,597.0,58.0,1882,31,6,8,61,1
5399_0,167.0,659.0,76.0,190,22,22,3,71,1
5403_0,162.0,460.0,86.0,11,34,23,2,73,1
5425_0,129.0,1441.0,83.0,751,32,19,8,53,1
5465_0,96.0,1783.0,80.0,1520,41,15,11,58,1
5508_0,160.0,438.0,86.0,24,34,27,2,76,1
5513_0,157.0,414.0,87.0,-1,24,33,3,70,1
5517_0,73.0,1270.0,75.0,1821,12,11,14,54,1
5523_0,160.0,698.0,81.0,70,34,25,2,73,1
5566_0,153.0,412.0,87.0,-2,24,24,7,68,1
5577_0,166.0,661.0,77.0,184,22,19,2,67,1
5579_0,162.0,489.0,84.0,18,24,33,5,74,1
5643_0,138.0,1021.0,74.0,721,11,21,3,71,1
5664_0,156.0,421.0,85.0,3,24,22,5,67,1
5692_0,164.0,762.0,83.0,73,34,24,2,74,1
5711_0,160.0,483.0,83.0,22,34,32,5,70,1
5714_0,152.0,933.0,76.0,533,21,21,4,69,1
5719_0,164.0,530.0,79.0,96,32,18,2,71,1
5721_0,100.0,757.0,79.0,1217,32,17,8,52,1
5727_0,159.0,454.0,88.0,6,24,30,2,75,1
5733_0,164.0,675.0,78.0,107,24,26,2,69,1
5743_0,62.0,756.0,65.0,1823,32,9,12,57,1
5790_0,170.0,568.0,76.0,89,34,19,3,69,1
5800_0,165.0,532.0,85.0,18,34,22,4,69,1
5833_0,158.0,467.0,89.0,12,24,29,2,74,1
5836_0,161.0,768.0,79.0,164,21,23,2,68,1
5847_0,162.0,519.0,83.0,22,24,40,4,76,1
5853_0,169.0,558.0,78.0,78,24,21,2,73,1
5885_0,48.0,956.0,59.0,2119,31,6,10,54,1
5886_0,78.0,862.0,73.0,1607,32,9,16,59,1
5900_0,157.0,583.0,94.0,30,34,31,2,72,1
5903_0,132.0,1289.0,78.0,929,31,20,7,56,1
6005_0,71.0,1199.0,70.0,1711,22,12,12,56,1
6018_0,62.0,575.0,59.0,1871,22,10,6,61,1
6045_0,88.0,1256.0,79.0,1477,21,12,17,52,1
6062_0,145.0,1219.0,81.0,725,21,23,6,62,1
6067_0,166.0,561.0,80.0,62,34,24,2,72,1
6072_0,59.0,1355.0,75.0,2031,21,5,14,53,1
6081_0,159.0,443.0,88.0,10,41,30,2,76,1
6086_0,147.0,880.0,83.0,469,21,20,5,62,1
6096_0,80.0,1020.0,76.0,1518,12,16,10,61,1
6101_0,166.0,544.0,79.0,67,34,21,3,73,1
6105_0,100.0,1367.0,82.0,1308,22,16,9,53,1
6118_0,164.0,470.0,84.0,6,34,44,6,74,1
6143_0,152.0,460.0,89.0,0,34,25,4,73,1
6145_0,144.0,890.0,90.0,437,34,28,3,70,1
6159_0,161.0,464.0,88.0,9,34,28,2,74,1
6162_0,166.0,548.0,86.0,18,41,24,2,71,1
6244_0,115.0,817.0,80.0,1021,31,24,8,54,1
6333_0,158.0,454.0,87.0,39,34,29,4,68,1
6341_0,164.0,491.0,86.0,11,24,29,3,73,1
6346_0,144.0,1105.0,81.0,529,41,22,7,59,1
6347_0,164.0,697.0,82.0,51,34,23,2,74,1
6355_0,161.0,697.0,81.0,67,34,25,2,73,1
6375_0,75.0,1031.0,72.0,1506,34,11,8,56,1
6377_0,161.0,679.0,83.0,175,34,15,4,66,1
6391_0,150.0,929.0,83.0,449,22,22,5,64,1
6462_0,159.0,455.0,86.0,34,24,35,5,74,1
6463_0,164.0,554.0,84.0,40,34,23,2,75,1
6464_0,159.0,488.0,83.0,54,31,20,3,69,1
6472_0,156.0,416.0,87.0,0,24,28,2,73,1
6496_0,163.0,756.0,82.0,73,24,23,2,74,1
6507_0,69.0,1468.0,77.0,1886,22,11,15,56,1
6521_0,162.0,758.0,82.0,82,22,25,2,70,1
6532_0,157.0,456.0,85.0,125,22,38,3,70,1
6536_0,154.0,508.0,91.0,4,34,22,2,73,1
6569_0,54.0,564.0,51.0,1955,22,15,8,61,1
