sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
34033_0,153.0,1249.0,19.0,74,24,11,2,62,5
34037_0,159.0,1255.0,19.0,65,24,15,7,56,1
34042_0,168.0,1329.0,21.0,44,34,28,2,60,3
34045_0,154.0,1260.0,18.0,73,34,26,2,62,5
34068_0,168.0,1391.0,21.0,43,24,20,2,60,5
34072_0,149.0,1211.0,17.0,97,34,28,7,61,3
34074_0,172.0,1393.0,21.0,40,41,36,4,58,5
34083_0,156.0,1210.0,18.0,84,31,14,2,57,5
34121_0,161.0,1287.0,21.0,56,34,36,2,61,1
34128_0,161.0,1268.0,20.0,63,24,20,2,58,3
34154_0,171.0,1387.0,22.0,41,41,18,2,57,5
34164_0,170.0,1379.0,22.0,43,34,19,2,63,3
34169_0,161.0,1296.0,19.0,95,24,24,4,54,3
34185_0,161.0,1274.0,20.0,56,41,27,28,69,1
34198_0,159.0,1230.0,18.0,68,34,22,3,59,5
34199_0,160.0,1261.0,21.0,62,24,39,2,59,5
34219_0,169.0,1276.0,18.0,60,24,30,8,56,5
34226_0,148.0,1242.0,18.0,79,34,14,2,61,99
34243_0,161.0,1268.0,21.0,60,34,41,4,63,5
34251_0,160.0,1266.0,20.0,73,24,15,4,56,1
34258_0,164.0,1332.0,20.0,55,34,28,9,65,1
34266_0,160.0,1269.0,20.0,56,24,30,3,66,5
34280_0,140.0,1196.0,16.0,180,24,16,3,59,1
34286_0,153.0,1203.0,18.0,79,34,28,3,59,1
34310_0,165.0,1337.0,20.0,49,24,19,2,61,3
34333_0,171.0,1296.0,18.0,64,24,27,9,59,5
34361_0,159.0,1226.0,19.0,75,24,22,3,58,1
34364_0,161.0,1243.0,20.0,69,24,17,4,59,5
34368_0,159.0,1388.0,20.0,111,24,13,4,50,3
34379_0,172.0,1314.0,17.0,50,24,17,2,57,3
34380_0,161.0,1303.0,21.0,62,24,12,2,60,3
34390_0,160.0,1296.0,20.0,98,31,21,5,52,99
34399_0,161.0,1254.0,20.0,72,34,27,4,55,5
34400_0,165.0,1326.0,20.0,45,31,23,2,62,99
34402_0,168.0,1346.0,21.0,46,24,37,5,64,1
34409_0,161.0,1313.0,22.0,61,24,14,2,58,5
34414_0,160.0,1256.0,19.0,62,34,17,2,56,5
34421_0,171.0,1296.0,17.0,50,24,19,2,61,2
34427_0,148.0,1227.0,19.0,81,34,21,2,61,2
34437_0,169.0,1394.0,21.0,39,24,31,2,61,5
34440_0,149.0,1219.0,17.0,149,31,17,3,57,5
34442_0,164.0,1369.0,20.0,51,34,38,5,59,99
34443_0,163.0,1360.0,20.0,48,41,31,2,63,99
34448_0,160.0,1249.0,19.0,63,34,12,2,61,5
34452_0,148.0,1197.0,17.0,133,22,18,3,57,3
34478_0,160.0,1303.0,21.0,69,24,12,2,58,5
34485_0,148.0,1239.0,18.0,79,34,14,2,61,1
34497_0,160.0,1316.0,20.0,98,42,32,3,62,3
34506_0,171.0,1338.0,21.0,37,41,40,3,61,1
34512_0,162.0,1266.0,20.0,62,24,18,4,56,5
34514_0,153.0,1275.0,18.0,175,31,17,5,54,1
34518_0,148.0,1227.0,18.0,86,24,9,2,61,2
34538_0,149.0,1246.0,18.0,74,34,16,2,62,5
34561_0,161.0,1255.0,20.0,65,41,24,4,61,5
34569_0,160.0,1253.0,20.0,62,34,38,5,58,5
34589_0,168.0,1315.0,20.0,48,24,30,10,70,5
34594_0,154.0,1254.0,18.0,69,24,38,3,61,5
34602_0,171.0,1386.0,22.0,43,24,23,2,59,5
34607_0,156.0,1215.0,18.0,92,24,12,2,55,1
34670_0,163.0,1299.0,20.0,49,24,20,2,60,5
34687_0,148.0,1231.0,18.0,78,24,21,2,60,5
34690_0,166.0,1375.0,20.0,47,34,27,2,61,3
34700_0,153.0,1208.0,18.0,76,41,23,3,61,99
34702_0,160.0,1270.0,20.0,68,34,18,2,60,2
34710_0,155.0,1247.0,19.0,65,41,29,2,61,5
34719_0,162.0,1272.0,19.0,57,34,27,7,62,1
34742_0,158.0,1241.0,20.0,74,24,31,8,62,5
34745_0,133.0,1150.0,16.0,201,21,15,2,58,5
34759_0,168.0,1311.0,19.0,58,24,24,9,59,1
34769_0,165.0,1336.0,20.0,55,34,29,5,65,1
34798_0,157.0,1233.0,17.0,68,24,13,2,59,2
34817_0,144.0,1211.0,17.0,146,42,17,5,58,5
34828_0,159.0,1264.0,20.0,68,24,20,3,62,99
34831_0,158.0,1266.0,20.0,69,24,21,2,60,1
34867_0,161.0,1261.0,19.0,70,34,25,3,60,5
34879_0,155.0,1268.0,18.0,74,24,37,2,60,3
34888_0,167.0,1382.0,20.0,53,24,30,4,56,1
34894_0,168.0,1370.0,21.0,42,41,41,4,61,3
34920_0,172.0,1353.0,22.0,36,24,20,2,57,3
