sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
10043_0,16.7,283.0,81.0,91,34,22,1,7.6,1
10053_0,16.5,286.0,85.0,39,34,22,2,7.8,1
10060_0,14.1,708.0,82.0,1035,32,16,6,6.2,1
10063_0,14.2,495.0,87.0,583,31,24,2,7.3,1
10068_0,17.2,174.0,83.0,59,24,32,2,7.8,1
10082_0,13.0,630.0,89.0,828,22,16,3,6.6,1
10087_0,18.0,274.0,80.0,214,31,25,2,7.0,1
10095_0,17.0,230.0,83.0,256,31,29,2,7.3,1
10140_0,13.7,590.0,90.0,316,21,31,5,6.6,1
10152_0,15.4,233.0,80.0,339,41,22,2,7.3,1
10165_0,12.7,1040.0,81.0,980,21,19,5,6.8,1
10170_0,0.4000000000000057,689.0,57.0,3327,32,10,0,7.2,1
10178_0,16.4,360.0,81.0,77,31,24,3,7.0,1
10259_0,18.0,293.0,79.0,465,31,25,2,7.1,1
10261_0,17.5,151.0,78.0,88,34,34,2,7.4,1
10328_0,17.2,155.0,82.0,81,34,20,2,8.0,1
10359_0,16.6,223.0,83.0,203,34,18,0,8.0,1
10363_0,16.2,394.0,81.0,90,21,27,3,6.7,1
10419_0,14.9,704.0,82.0,555,32,12,3,6.2,1
10447_0,1.6,660.0,61.0,3036,31,7,8,5.7,1
10515_0,16.9,180.0,77.0,76,34,35,2,7.6,1
10562_0,17.0,253.0,81.0,86,34,21,2,7.9,1
10581_0,17.9,274.0,80.0,193,24,33,2,7.4,1
10631_0,0.9,595.0,57.0,3193,32,5,10,5.7,1
10640_0,15.7,371.0,87.0,553,31,25,2,7.9,1
10653_0,16.9,285.0,83.0,99,24,29,2,7.4,1
10688_0,14.5,294.0,89.0,272,21,26,2,7.1,1
10691_0,14.7,282.0,87.0,248,31,29,3,7.4,1
10717_0,14.7,743.0,83.0,620,32,14,4,6.1,1
10741_0,14.1,531.0,89.0,578,22,23,3,7.1,1
10750_0,14.4,453.0,94.0,237,41,28,3,6.6,1
10754_0,6.9,350.0,57.0,2111,24,19,3,8.0,1
10766_0,18.1,256.0,79.0,228,21,30,18,7.6,1
10782_0,17.2,175.0,82.0,69,34,22,1,8.1,1
10790_0,16.6,332.0,81.0,123,31,24,2,7.3,1
10819_0,16.9,236.0,84.0,81,34,17,2,7.7,1
10831_0,17.0,418.0,83.0,388,21,24,2,7.0,1
10849_0,14.9,567.0,93.0,111,31,26,4,7.1,1
10859_0,16.3,367.0,80.0,78,21,21,3,7.3,1
10864_0,17.9,258.0,78.0,340,21,27,18,7.4,1
10877_0,14.6,481.0,87.0,714,22,21,2,7.2,1
10964_0,14.3,393.0,83.0,659,12,27,2,7.2,1
10974_0,14.8,391.0,84.0,525,32,27,2,7.2,1
10986_0,16.5,422.0,81.0,239,21,32,3,6.1,1
11001_0,14.8,429.0,88.0,535,21,26,2,7.2,1
11049_0,12.9,634.0,89.0,882,22,22,4,7.2,1
11064_0,18.5,219.0,79.0,227,31,18,2,7.6,1
11074_0,15.0,445.0,89.0,483,31,22,2,7.3,1
11076_0,16.8,465.0,84.0,279,31,20,3,7.3,1
11105_0,14.6,444.0,85.0,609,32,24,2,7.1,1
11108_0,17.3,172.0,77.0,71,34,16,2,7.8,1
11127_0,17.2,178.0,84.0,57,34,30,2,7.7,1
11147_0,16.7,550.0,83.0,379,21,21,2,7.3,1
11175_0,16.7,211.0,83.0,168,24,25,2,7.8,1
11203_0,7.1,336.0,57.0,2123,31,13,3,7.8,1
11226_0,16.5,315.0,80.0,98,34,22,2,7.4,1
11264_0,16.4,316.0,81.0,39,24,20,3,7.0,1
